image_name,timestamp,cam_x,cam_y,cam_z,heading,pitch,roll
Image_D2_M12_000001.jpeg,1746800048,234528.817,2016450.6,2266.498,-103.176,-86.824,-18.445
Image_D2_M12_000002.jpeg,1746800050,234520.329,2016455.533,2266.75,-46.575,-87.905,-12.185
Image_D2_M12_000003.jpeg,1746800053,234514.197,2016464.493,2266.977,-125.868,-87.449,-86.423
Image_D2_M12_000004.jpeg,1746800055,234506.725,2016471.678,2266.648,-152.121,-86.269,-97.128
Image_D2_M12_000005.jpeg,1746800057,234497.312,2016476.516,2266.055,-159.834,-85.236,-93.214
Image_D2_M12_000006.jpeg,1746800059,234487.539,2016481.021,2265.533,-159.608,-86.603,-96.044
Image_D2_M12_000007.jpeg,1746800061,234478.701,2016486.178,2265.271,-166.093,-88.447,-113.461
Image_D2_M12_000008.jpeg,1746800063,234470.938,2016493.53,2265.192,-137.926,-89.33,-100.48
Image_D2_M12_000009.jpeg,1746800065,234465.732,2016502.071,2265.262,110.549,-88.877,133.547
Image_D2_M12_000010.jpeg,1746800066,234462.692,2016511.891,2265.187,175.496,-87.826,-175.407
Image_D2_M12_000011.jpeg,1746800068,234461.923,2016521.843,2264.988,-171.632,-88.651,-174.414
Image_D2_M12_000012.jpeg,1746800069,234463.232,2016532.447,2264.896,-159.503,-88.623,-172.336
Image_D2_M12_000013.jpeg,1746800070,234466.254,2016543.086,2264.811,158.651,-88.351,139.826
Image_D2_M12_000014.jpeg,1746800072,234469.505,2016552.637,2264.667,134.91,-87.487,116.339
Image_D2_M12_000015.jpeg,1746800073,234472.847,2016563.099,2264.522,133.728,-87.935,116.359
Image_D2_M12_000016.jpeg,1746800074,234476.157,2016574.638,2264.379,129.409,-88.265,114.013
Image_D2_M12_000017.jpeg,1746800075,234478.832,2016584.921,2264.263,148.04,-87.74,133.808
Image_D2_M12_000018.jpeg,1746800076,234481.334,2016595.424,2264.069,132.678,-87.352,120.059
Image_D2_M12_000019.jpeg,1746800077,234483.542,2016606.278,2263.895,138.069,-87.588,127.127
Image_D2_M12_000020.jpeg,1746800078,234485.451,2016617.395,2263.72,149.788,-87.846,140.631
Image_D2_M12_000021.jpeg,1746800079,234487.019,2016628.694,2263.53,169.168,-88.195,161.809
Image_D2_M12_000022.jpeg,1746800080,234488.301,2016640.006,2263.344,152.121,-87.476,146.242
Image_D2_M12_000023.jpeg,1746800081,234489.304,2016651.239,2263.113,147.413,-87.335,142.714
Image_D2_M12_000024.jpeg,1746800082,234490.031,2016662.409,2262.879,150.711,-87.431,147.759
Image_D2_M12_000025.jpeg,1746800083,234490.352,2016673.504,2262.646,154.573,-87.656,153.674
Image_D2_M12_000026.jpeg,1746800084,234490.328,2016684.524,2262.421,152.073,-87.35,152.816
Image_D2_M12_000027.jpeg,1746800085,234490.009,2016695.443,2262.187,153.539,-87.602,155.881
Image_D2_M12_000028.jpeg,1746800086,234489.377,2016706.15,2261.963,151.318,-86.92,155.508
Image_D2_M12_000029.jpeg,1746800087,234488.283,2016717.956,2261.668,152.814,-86.999,158.698
Image_D2_M12_000030.jpeg,1746800088,234487.088,2016728.361,2261.423,155.397,-87.586,161.693
Image_D2_M12_000031.jpeg,1746800090,234486.037,2016738.952,2261.261,-166.924,-86.634,-166.613
Image_D2_M12_000032.jpeg,1746800092,234487.961,2016749.21,2260.997,-157.844,-86.027,170.612
Image_D2_M12_000033.jpeg,1746800094,234495.634,2016755.691,2260.607,-161.783,-86.653,128.594
Image_D2_M12_000034.jpeg,1746800095,234506.328,2016758.88,2259.761,-166.399,-83.987,118.537
Image_D2_M12_000035.jpeg,1746800097,234517.234,2016761.856,2259.164,-130.64,-87.551,154.161
Image_D2_M12_000036.jpeg,1746800098,234527.892,2016764.763,2259.018,-128.575,-88.707,156.754
Image_D2_M12_000037.jpeg,1746800099,234538.824,2016767.84,2258.98,-158.83,-88.24,126.809
Image_D2_M12_000038.jpeg,1746800100,234549.677,2016770.937,2258.907,173.317,-89.49,99.156
Image_D2_M12_000039.jpeg,1746800102,234560.414,2016774.023,2258.863,172.895,-88.512,98.392
Image_D2_M12_000040.jpeg,1746800103,234571.01,2016777.092,2258.779,157.686,-88.121,83.741
Image_D2_M12_000041.jpeg,1746800104,234581.572,2016780.195,2258.678,157.171,-88.434,82.527
Image_D2_M12_000042.jpeg,1746800105,234591.837,2016783.076,2258.586,-178.995,-87.976,106.093
Image_D2_M12_000043.jpeg,1746800107,234602.597,2016786.163,2258.337,-145.554,-87.441,140.232
Image_D2_M12_000044.jpeg,1746800108,234613.077,2016789.332,2258.568,-36.139,-86.284,-110.964
Image_D2_M12_000045.jpeg,1746800110,234623.46,2016790.408,2259.475,38.415,-87.773,-65.809
Image_D2_M12_000046.jpeg,1746800112,234632.238,2016784.587,2259.619,162.034,-88.899,16.111
Image_D2_M12_000047.jpeg,1746800114,234636.899,2016774.619,2259.604,97.421,-89.047,-63.939
Image_D2_M12_000048.jpeg,1746800115,234640.116,2016764.92,2259.754,66.785,-88.881,-95.995
Image_D2_M12_000049.jpeg,1746800116,234643.295,2016754.06,2259.887,79.563,-88.917,-86.139
Image_D2_M12_000050.jpeg,1746800117,234645.864,2016744.265,2260,42.014,-88.9,-123.393
Image_D2_M12_000051.jpeg,1746800118,234648.785,2016733.849,2260.182,51.703,-89.25,-112.274
Image_D2_M12_000052.jpeg,1746800119,234652.188,2016722.825,2260.373,60.662,-88.771,-101.366
Image_D2_M12_000053.jpeg,1746800120,234656.184,2016711.306,2260.757,36.427,-87.343,-123.505
Image_D2_M12_000054.jpeg,1746800121,234659.781,2016701.948,2261.373,21.398,-85.217,-136.835
Image_D2_M12_000055.jpeg,1746800122,234663.739,2016692.62,2262.358,4.115,-83.627,-152.77
Image_D2_M12_000056.jpeg,1746800123,234667.846,2016683.184,2263.528,17.048,-83.616,-139.24
Image_D2_M12_000057.jpeg,1746800123,234672.015,2016673.698,2264.805,19.532,-82.207,-137.341
Image_D2_M12_000058.jpeg,1746800124,234676.034,2016664.099,2266.208,21.286,-80.974,-136.681
Image_D2_M12_000059.jpeg,1746800125,234679.879,2016654.588,2267.972,13.724,-80.089,-144.63
Image_D2_M12_000060.jpeg,1746800126,234683.546,2016645.289,2269.826,11.844,-78.54,-147.895
Image_D2_M12_000061.jpeg,1746800127,234687.357,2016634.4,2272.316,15.988,-77.17,-145.059
Image_D2_M12_000062.jpeg,1746800128,234690.569,2016625.14,2274.734,10.51,-76.235,-150.566
Image_D2_M12_000063.jpeg,1746800129,234693.711,2016615.77,2277.344,17.666,-77.07,-143.788
Image_D2_M12_000064.jpeg,1746800133,234696.494,2016606.301,2279.351,51.826,-79.328,-122.049
Image_D2_M12_000065.jpeg,1746800136,234691.869,2016598.003,2279.234,152.831,-80.707,-94.921
Image_D2_M12_000066.jpeg,1746800139,234681.65,2016594.853,2277.916,165.92,-80.733,-89.412
Image_D2_M12_000067.jpeg,1746800140,234671.799,2016592.045,2276.44,172.484,-79.239,-81.624
Image_D2_M12_000068.jpeg,1746800142,234661.435,2016588.956,2274.636,172.734,-79.39,-81.247
Image_D2_M12_000069.jpeg,1746800143,234651.683,2016586.176,2273.059,168.128,-80.726,-86.555
Image_D2_M12_000070.jpeg,1746800144,234641.844,2016583.453,2271.731,158.564,-82.182,-96.518
Image_D2_M12_000071.jpeg,1746800145,234630.651,2016580.583,2270.642,149.123,-83.607,-107.569
Image_D2_M12_000072.jpeg,1746800147,234619.431,2016577.863,2269.842,152.188,-84.87,-104.675
Image_D2_M12_000073.jpeg,1746800148,234608.416,2016575.097,2269.177,154.618,-86.078,-101.455
Image_D2_M12_000074.jpeg,1746800150,234597.878,2016572.286,2268.689,150.951,-86.757,-104.003
Image_D2_M12_000075.jpeg,1746800151,234587.46,2016569.297,2268.562,91.008,-87.433,-159.157
Image_D2_M12_000076.jpeg,1746800154,234579.015,2016562.748,2268.933,34.996,-85.195,-173.784
Image_D2_M12_000077.jpeg,1746800156,234575.621,2016552.515,2269.792,25.484,-86.29,-162.653
Image_D2_M12_000078.jpeg,1746800157,234575.455,2016542.375,2270.547,10.904,-86.011,-161.765
Image_D2_M12_000079.jpeg,1746800159,234577.17,2016532.002,2271.255,37.402,-87.98,-130.635
Image_D2_M12_000080.jpeg,1746800161,234579.798,2016522.339,2271.514,108.267,-86.605,-52.013
Image_D2_M12_000081.jpeg,1746800169,234581.684,2016516.396,2271.465,104.454,-86.619,-24.025
Image_D2_M12_000082.jpeg,1746800178,234579.935,2016519.273,2271.465,-21.861,-88.694,-43.32
Image_D2_M12_000083.jpeg,1746800181,234576.207,2016527.453,2271.368,-171.272,-86.789,-114.716
Image_D2_M12_000084.jpeg,1746800186,234570.902,2016535.518,2270.959,-166.566,-84.96,-166.805
Image_D2_M12_000085.jpeg,1746800190,234573.392,2016545.892,2270.261,-158.008,-85.03,-173.555
Image_D2_M12_000086.jpeg,1746800192,234576.07,2016555.919,2269.566,-170.575,-84.091,167.413
Image_D2_M12_000087.jpeg,1746800194,234582.093,2016564.467,2268.777,-136.681,-86.775,169.134
Image_D2_M12_000088.jpeg,1746800195,234591.487,2016568.734,2268.592,-83.666,-88.177,-159.261
Image_D2_M12_000089.jpeg,1746800197,234601.872,2016571.332,2268.862,-11.379,-88.124,-87.525
Image_D2_M12_000090.jpeg,1746800198,234613.173,2016574.145,2269.437,-18.024,-86.412,-94.892
